,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2"," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
04/03/2020 19:30,140,23.3,45,95,0,0,15.4,48,25,31,36,17.518543956,18.2583333333,12.4948412698,13.3833333333,91,40,9
04/03/2020 20:00,112,18.7,24,87,1,0,15.4,33,23,24,32,18.8601190476,15.875,13.1777777778,13.5532407407,87,23,2
04/03/2020 20:30,108,18.0,21,87,0,0,12.9,28,20,30,30,14.8869047619,13.0555555556,11.5,11.9583333333,78,22,8
04/03/2020 21:00,76,12.7,25,51,0,0,12.6,22,16,16,22,16.6138888889,14.2222222222,8.25,11.1597222222,68,2,6
04/03/2020 21:30,69,11.5,18,51,0,0,11.0,19,13,17,20,13.0055555556,10.6388888889,9.7222222222,10.625,60,4,5
04/03/2020 22:00,51,8.5,11,40,0,0,10.8,18,9,7,17,13.7666666667,12.2083333333,7.1666666667,10.1388888889,47,2,2
04/03/2020 22:30,28,4.7,10,18,0,0,8.7,11,4,4,9,13.6111111111,9.3333333333,4.6666666667,7.0833333333,25,0,3
04/03/2020 23:00,19,3.2,4,14,1,0,4.8,4,3,4,8,5.1666666667,4.3333333333,3.5833333333,5.9444444444,17,0,2
04/03/2020 23:30,20,3.3,7,12,1,0,7.4,8,3,3,6,9.9444444444,8.5,5.6666666667,5.3333333333,18,1,1
04/04/2020 00:00,15,2.5,3,12,0,0,3.5,6,3,2,4,5.1666666667,2.8888888889,2.5,3.2777777778,15,0,0
04/04/2020 00:30,7,1.2,1,6,0,0,3.5,4,1,0,2,6.1666666667,6.6666666667,0,1.3333333333,7,0,0
04/04/2020 01:00,15,2.5,7,8,0,0,4.0,9,3,0,3,6.9166666667,4.1666666667,0,5,13,2,0
04/04/2020 01:30,9,1.5,2,7,0,0,2.5,2,2,2,3,3.1666666667,1.5833333333,1.3333333333,3.8333333333,9,0,0
04/04/2020 02:00,9,1.5,3,6,0,0,2.2,4,3,0,2,2.9444444444,3,0,2.8333333333,7,1,1
04/04/2020 02:30,2,0.3,0,2,0,0,0.7,0,0,0,2,0,0,0,2.6666666667,2,0,0
04/04/2020 03:00,3,0.5,1,2,0,0,1.1,1,1,0,1,1.5,1.5,0,1.5,3,0,0
04/04/2020 03:30,6,1.0,1,5,0,0,2.0,0,2,3,1,0,2.6666666667,4,1.1666666667,6,0,0
04/04/2020 04:00,10,1.7,1,9,0,0,3.6,4,2,1,3,3.7777777778,6.8333333333,1.3333333333,2.5,10,0,0
04/04/2020 04:30,4,0.7,1,3,0,0,1.5,0,1,0,3,0,1.3333333333,0,4.8333333333,4,0,0
04/04/2020 05:00,7,1.2,1,6,0,0,3.6,2,0,2,3,8.1666666667,0,3.8333333333,2.5,7,0,0
04/04/2020 05:30,2,0.3,0,2,0,0,0.6,0,0,0,2,0,0,0,2.3333333333,2,0,0
04/04/2020 06:00,1,0.2,0,1,0,0,0.3,0,0,1,0,0,0,1.3333333333,0,1,0,0
04/04/2020 06:30,5,0.8,0,5,0,0,1.9,2,1,1,1,3.4166666667,1.1666666667,1.3333333333,1.5,4,1,0
04/04/2020 07:00,13,2.2,1,12,0,0,4.0,3,2,2,6,4.3333333333,2,2.6666666667,6.9166666667,13,0,0
04/04/2020 07:30,15,2.5,6,9,0,0,3.7,4,3,1,7,3.1666666667,2.8333333333,2.1666666667,6.5,13,2,0
04/04/2020 08:00,33,5.5,4,29,0,0,9.5,3,5,8,17,9.6666666667,5.0833333333,12.9166666667,10.1666666667,29,4,0
04/04/2020 08:30,36,6.0,6,30,0,0,8.6,6,3,11,16,9.6666666667,3.3333333333,10.4722222222,11.0833333333,31,5,0
04/04/2020 09:00,81,13.5,15,66,0,0,16.2,25,9,24,23,26.1490740741,14.4166666667,13.1194444444,10.9277777778,62,16,3
04/04/2020 09:30,50,8.3,12,38,0,0,12.8,10,8,18,14,12.7083333333,17.4166666667,11.1111111111,10.0277777778,42,5,3
04/04/2020 10:00,75,12.5,10,65,0,0,15.3,20,9,17,29,19.0972222222,15.6111111111,13.0027777778,13.3166666667,58,15,2
04/04/2020 10:30,81,13.5,25,56,0,0,16.0,27,13,15,26,21.6166666667,20.1888888889,11.3194444444,10.9111111111,60,20,1
04/04/2020 11:00,125,20.8,34,91,0,0,15.9,35,26,31,33,19.8501984127,17.7166666667,12.7305555556,13.45,98,25,2
04/04/2020 11:30,117,19.5,19,98,0,0,15.1,26,22,29,40,19.703042328,13.5611111111,12.9420634921,14.0400793651,78,28,12
04/04/2020 12:00,130,21.7,28,102,0,0,15.8,36,25,36,33,18.5682539683,17.7444444444,12.906547619,13.9662698413,93,35,2
04/04/2020 12:30,140,23.3,29,111,0,0,13.6,40,25,42,33,17.6791666667,12.4537037037,12.3029761905,12.1430555556,104,32,4
04/04/2020 13:00,161,26.8,40,121,0,0,15.7,48,19,43,51,18.57752664,15.9583333333,13.9755952381,14.2575803826,115,44,2
04/04/2020 13:30,157,26.2,43,114,0,0,16.9,50,32,33,42,21.6365740741,18.8502645503,13.275462963,13.7212301587,109,45,3
04/04/2020 14:00,161,26.8,37,124,0,0,15.5,43,27,43,48,17.5234126984,14.1875,15.4289021164,14.8888888889,115,40,6
04/04/2020 14:30,137,22.8,25,111,1,0,13.8,46,26,30,35,17.6832010582,11.6111111111,12.748015873,13.2856421356,110,23,4
04/04/2020 15:00,159,26.5,31,127,1,0,16.9,32,32,47,48,20.1130952381,18.7063492063,15.8361111111,13.1401515152,115,43,1
04/04/2020 15:30,144,24.0,34,110,0,0,15.6,40,32,34,38,15.1864357864,19.9855820106,12.6978174603,14.6104497354,108,31,5
04/04/2020 16:00,127,21.2,26,101,0,0,14.8,27,23,31,46,17.3956349206,15.3638888889,13.3779761905,13.0403439153,98,23,6
04/04/2020 16:30,140,23.3,32,108,0,0,14.7,39,27,37,37,16.4652777778,15.7138888889,13.1515873016,13.6494708995,117,19,4
04/04/2020 17:00,137,22.8,31,106,0,0,17.0,41,18,36,42,19.1153439153,20.5694444444,14.6448412698,13.7334656085,116,20,1
04/04/2020 17:30,142,23.7,29,113,0,0,13.0,31,23,35,53,13.8267857143,13.4055555556,11.9933862434,12.9561507937,117,20,5
04/04/2020 18:00,131,21.8,35,96,0,0,14.7,38,19,29,45,18.9032356532,14.7333333333,11.65,13.3240740741,108,20,3
04/04/2020 18:30,130,21.7,33,97,0,0,15.1,29,30,26,45,19.3982323232,14.1012987013,11.9305555556,15.0547619048,97,27,6
04/04/2020 19:00,140,23.3,37,103,0,0,16.1,35,29,29,47,16.9257936508,19.2904761905,14.3777777778,13.8,110,27,3
04/04/2020 19:30,109,18.2,22,86,1,0,13.5,29,25,22,33,16.5257936508,11.8333333333,12.3694444444,13.4358465608,76,29,4
04/04/2020 20:00,106,17.7,21,85,0,0,13.7,28,18,19,41,17.805952381,14.1,9.7083333333,13.0257936508,75,32,0
04/04/2020 20:30,76,12.7,16,60,0,0,11.1,23,18,21,14,13.2805555556,10.3277777778,9.7138888889,10.9444444444,62,12,2
04/04/2020 21:00,75,12.5,21,53,1,0,13.7,27,15,14,19,19.1365079365,10.6388888889,11.3194444444,13.6666666667,64,6,5
04/04/2020 21:30,69,11.5,28,41,0,0,13.3,30,10,9,20,19.2857142857,17.8333333333,5.5138888889,10.4986111111,63,0,6
04/04/2020 22:00,34,5.7,12,22,0,0,8.5,12,8,2,12,7.8611111111,14.4166666667,4,7.625,32,0,2
04/04/2020 22:30,32,5.3,9,23,0,0,9.9,11,5,3,13,17.4166666667,9,2.5,10.4861111111,28,1,3
04/04/2020 23:00,16,2.7,5,11,0,0,3.5,6,0,1,9,5.2222222222,0,1.5,7.1944444444,16,0,0
04/04/2020 23:30,27,4.5,3,24,0,0,7.6,10,2,6,9,11.1111111111,6.6666666667,5.0833333333,7.4166666667,25,0,2
04/05/2020 00:00,12,2.0,6,6,0,0,4.3,4,2,1,5,4.9444444444,6.3333333333,2.5,3.3333333333,12,0,0
